date,price
1 ,167.54
2 ,163.6601
3 ,159.6147
4 ,158.6385
5 ,157.439
6 ,154.2291
7 ,152.9469
8 ,151.5405
9 ,153.9313
10 ,153.9644
11 ,145.1705
12 ,147.3214
13 ,150.8621
14 ,149.9273
15 ,149.7536
16 ,151.2261
17 ,149.0007
18 ,146.8167
19 ,145.7247
20 ,146.5768
21 ,144.6245
22 ,147.5613
23 ,146.6347
24 ,143.9875
25 ,144.4425
26 ,152.467
27 ,151.2923
28 ,151.5157
29 ,151.8631
30 ,150.9697
31 ,151.648
32 ,150.7463
33 ,152.1858
34 ,154.4029
35 ,158.0511
36 ,157.7864
37 ,153.832
38 ,154.8579
39 ,153.4763
40 ,151.9045
41 ,158.4731
42 ,155.3873
43 ,158.8205
44 ,159.4575
45 ,157.1081
46 ,160.2931
47 ,162.7832
48 ,165.0003
49 ,161.5505
50 ,159.7884
51 ,161.3851
52 ,161.8897
53 ,159.4823
54 ,164.264
55 ,160.9466
56 ,162.7832
57 ,162.1131
58 ,161.6002
59 ,160.9714
60 ,162.8163
61 ,166.0095
62 ,169.178
63 ,165.4553
64 ,165.6373
65 ,168.6816
66 ,170.4189
67 ,170.1707
68 ,187.1878
69 ,192.3914
70 ,193.6075
71 ,212.9658
72 ,218.31
73 ,211.8158
74 ,213.8427
75 ,211.609
76 ,205.0735
77 ,206.6371
78 ,208.6639
79 ,210.9307
80 ,199.3322
81 ,200.7634
82 ,202.6248
83 ,210.2688
84 ,212.974
85 ,210.4757
86 ,212.1137
87 ,207.9855
88 ,202.8233
89 ,199.4894
90 ,206.8522
91 ,210.0868
92 ,213.9254
93 ,228.2125
94 ,237.2877
95 ,236.2205
96 ,229.0728
97 ,216.0101
98 ,218.2603
99 ,224.5724
100 ,220.5684
101 ,217.4
102 ,213.611
103 ,209.9958
104 ,218.9304
105 ,214.2894
106 ,215.9605
107 ,215.1415
108 ,220.0555
109 ,215.8281
110 ,210.0868
111 ,211.0299
112 ,201.8306
113 ,194.6664
114 ,208.6805
115 ,216.0929
116 ,208.2999
117 ,200.5732
118 ,204.0394
119 ,213.1478
120 ,213.0154
121 ,215.34
122 ,206.6619
123 ,210.1613
124 ,202.0043
125 ,195.9487
126 ,213.3877
127 ,219.7163
128 ,213.2305
129 ,206.0332
130 ,207.8615
131 ,208.1345
132 ,211.4221
133 ,208.477
134 ,205.282
135 ,201.0867
136 ,203.3186
137 ,203.013
138 ,186.6301
139 ,190.6216
140 ,192.3905
141 ,190.742
142 ,191.5477
143 ,194.076
144 ,196.3079
145 ,191.8811
146 ,189.8159
147 ,191.6403
148 ,196.6136
149 ,195.1781
150 ,193.9927
151 ,194.0297
152 ,194.465
153 ,190.9828
154 ,186.2041
155 ,186.7227
156 ,180.6566
157 ,172.5624
158 ,157.1056
159 ,163.5421
160 ,170.2935
161 ,182.5089
162 ,178.4155
163 ,180.9345
164 ,180.0084
165 ,180.2306
166 ,174.7666
167 ,175.3315
168 ,177.6838
169 ,178.9341
170 ,178.6562
171 ,187.5654
172 ,187.0746
173 ,189.4362
174 ,183.3702
175 ,184.6945
176 ,184.5741
177 ,184.5463
178 ,180.3325
179 ,179.6657
180 ,179.1656
181 ,177.2393
182 ,176.1187
183 ,176.2484
184 ,182.9256
185 ,182.3977
186 ,183.4535
187 ,184.0555
188 ,183.2127
189 ,185.2131
190 ,185.9077
191 ,187.7414
192 ,187.0468
193 ,185.5095
194 ,187.5654
195 ,195.3911
196 ,201.6423
197 ,199.3456
198 ,196.7432
199 ,197.2618
200 ,198.0583
201 ,196.8543
202 ,194.2149
203 ,199.0955
204 ,200.5588
205 ,202.2814
206 ,204.5133
207 ,205.9488
208 ,203.8835
209 ,203.7539
210 ,199.2159
211 ,197.9842
212 ,198.5213
213 ,198.7992
214 ,199.1418
215 ,197.9286
216 ,196.9099
217 ,196.0486
218 ,197.2433
219 ,197.1137
220 ,192.3905
221 ,198.475
222 ,198.0027
223 ,205.2079
224 ,203.9298
225 ,199.4012
226 ,198.6603
227 ,196.2802
228 ,198.6232
229 ,197.2248
230 ,195.7893
231 ,198.2806
232 ,198.6603
233 ,198.1046
234 ,199.9105
235 ,200.8551
236 ,210.2552
237 ,208.403
238 ,206.523
239 ,208.1714
240 ,207.9121
241 ,202.9296
242 ,203.5872
243 ,202.6888
244 ,202.0684
245 ,194.502
246 ,197.0951
247 ,196.5024
248 ,187.2876
249 ,189.5103
250 ,185.0927
251 ,182.2496
252 ,185.0186
253 ,189.6862
254 ,184.2963
255 ,184.6945
256 ,194.7058
257 ,187.371
258 ,185.4632
259 ,187.7599
260 ,187.7877
261 ,184.3055
262 ,185.1576
263 ,182.1106
264 ,185.8244
265 ,186.4171
266 ,189.4362
267 ,188.6119
268 ,189.8437
269 ,188.8064
270 ,185.6021
271 ,188.8527
272 ,187.3524
273 ,186.806
274 ,188.1026
275 ,192.4461
276 ,196.7154
277 ,201.6516
278 ,196.7154
279 ,200.8181
280 ,199.0307
281 ,202.2814
282 ,207.6528
283 ,210.9776
284 ,221.137
285 ,216.3768
286 ,212.2741
287 ,210.6349
288 ,211.2091
289 ,211.1998
290 ,207.9769
291 ,214.7839
292 ,211.7184
293 ,212.5982
294 ,209.3013
295 ,214.8394
296 ,217.164
297 ,217.6085
298 ,224.7303
299 ,226.8789
300 ,231.139
301 ,229.7776
302 ,230.287
303 ,229.3423
304 ,226.9808
305 ,227.379
306 ,238.2052
307 ,235.3343
308 ,231.3983
309 ,225.712
310 ,226.8233
311 ,224.3413
312 ,224.8229
313 ,226.8048
314 ,225.6749
315 ,225.2119
316 ,220.8221
317 ,222.6095
318 ,229.1201
319 ,226.4529
320 ,225.8416
321 ,226.7863
322 ,228.231
323 ,232.6393
324 ,240.7891
325 ,237.2791
326 ,238.7239
327 ,233.5839
328 ,232.2874
329 ,233.4543
330 ,237.8904
331 ,237.0476
332 ,232.417
333 ,233.0375
334 ,231.5558
335 ,226.3788
336 ,227.6105
337 ,232.6949
338 ,235.4176
339 ,233.3246
340 ,233.2505
341 ,234.0377
342 ,233.7877
343 ,237.205
344 ,244.9288
345 ,244.2991
346 ,247.9572
347 ,262.9139
348 ,255.6532
349 ,257.3202
350 ,254.014
351 ,247.3274
352 ,252.597
353 ,256.0607
354 ,253.7732
355 ,257.6999
356 ,255.7088
357 ,253.5787
358 ,257.8666
359 ,256.0144
360 ,253.5417
361 ,266.4239
362 ,266.9147
363 ,266.8869
364 ,270.3506
365 ,270.7479
366 ,278.0613
367 ,284.3813
368 ,300.0962
369 ,299.8312
370 ,293.2085
371 ,298.1566
372 ,307.2298
373 ,300.0962
374 ,300.0015
375 ,300.4084
376 ,299.169
377 ,291.5055
378 ,291.9312
379 ,297.4376
380 ,291.3257
381 ,294.4857
382 ,301.8465
383 ,297.0875
384 ,299.0176
385 ,296.2739
386 ,290.4175
387 ,289.7079
388 ,290.285
389 ,289.793
390 ,289.443
391 ,291.496
392 ,298.7338
393 ,296.8983
394 ,299.6988
395 ,299.888
396 ,301.6005
397 ,292.8395
398 ,291.5528
399 ,289.916
400 ,289.9633
401 ,290.7581
402 ,290.3418
403 ,288.828
404 ,286.6803
405 ,285.2044
406 ,290.9567
407 ,289.3767
408 ,293.4734
409 ,292.0732
410 ,289.3011
411 ,291.8745
412 ,293.2369
413 ,290.0769
414 ,289.3389
415 ,288.213
416 ,281.9971
417 ,284.2394
418 ,283.4257
419 ,283.9555
420 ,279.0642
421 ,278.2032
422 ,280.9753
423 ,281.6376
424 ,273.1699
425 ,275.4784
426 ,272.8672
427 ,275.2987
428 ,281.8552
429 ,286.633
430 ,292.2718
431 ,289.3389
432 ,287.5129
433 ,289.1308
434 ,286.1505
435 ,290.6067
436 ,289.935
437 ,289.0172
438 ,287.7967
439 ,290.3891
440 ,296.0752
441 ,296.7753
442 ,299.7934
443 ,299.9637
444 ,300.8152
445 ,299.6136
446 ,298.1945
447 ,298.8378
448 ,297.8539
449 ,298.3364
450 ,302.7547
451 ,299.7366
452 ,301.9316
453 ,298.0999
454 ,294.2303
455 ,297.0875
456 ,296.2739
457 ,294.2776
458 ,293.2936
459 ,292.8206
460 ,292.2245
461 ,296.0847
462 ,299.8502
463 ,299.8123
464 ,302.2817
465 ,306.5013
466 ,301.8843
467 ,303.7198
468 ,304.4293
469 ,298.9041
470 ,308.8287
471 ,309.8032
472 ,319.5103
473 ,319.5576
474 ,309.245
475 ,315.0636
476 ,314.3635
477 ,310.3709
478 ,309.9262
479 ,308.3935
480 ,308.8855
481 ,310.948
482 ,307.6745
483 ,302.7831
484 ,306.9933
485 ,308.5827
486 ,306.2742
487 ,309.6708
488 ,316.1422
489 ,316.5301
490 ,332.945
491 ,328.0537
492 ,331.857
493 ,329.7283
494 ,330.1919
495 ,326.8332
496 ,328.347
497 ,326.2844
498 ,323.0677
499 ,330.3149
500 ,335.9442
501 ,335.6036
502 ,335.8591
503 ,332.2922
504 ,331.4313
505 ,328.8957
506 ,325.8587
507 ,328.1577
508 ,328.1577
509 ,325.064
510 ,325.66
511 ,328.8768
512 ,326.4831
513 ,330.9014
514 ,331.3367
515 ,329.7472
516 ,329.3309
517 ,331.6678
518 ,341.8195
519 ,339.407
520 ,342.3872
521 ,342.2074
522 ,343.0779
523 ,337.95
524 ,335.5468
525 ,337.3918
526 ,337.5904
527 ,337.3255
528 ,339.6151
529 ,347.411
530 ,347.4867
531 ,349.9655
532 ,349.9182
533 ,351.5266
534 ,349.5871
535 ,354.4879
536 ,354.5731
537 ,358.0831
538 ,365.5858
539 ,372.7762
540 ,373.2209
541 ,368.7836
542 ,365.9737
543 ,358.4048
544 ,359.7672
545 ,362.9745
546 ,365.3303
547 ,365.5385
548 ,368.6606
549 ,370.7894
550 ,371.6976
551 ,368.2254
552 ,364.5261
553 ,369.1999
554 ,376.9202
555 ,374.1386
556 ,374.4603
557 ,382.8428
558 ,383.8741
559 ,392.9283
560 ,378.9448
561 ,377.0715
562 ,396.3154
563 ,395.4355
564 ,398.728
565 ,391.1969
566 ,389.8724
567 ,395.1044
568 ,393.5811
569 ,393.7609
570 ,383.6281
571 ,386.7313
572 ,387.9896
573 ,389.9481
574 ,391.1875
575 ,396.9398
576 ,406.9402
577 ,403.6099
578 ,406.3914
579 ,417.0635
580 ,417.9718
581 ,429.7225
582 ,426.0516
583 ,426.3165
584 ,427.5654
585 ,419.0693
586 ,425.0676
587 ,423.2038
588 ,420.4601
589 ,424.6324
590 ,434.6139
591 ,439.2876
592 ,440.6406
593 ,447.3958
594 ,447.5472
595 ,448.8244
596 ,439.2782
597 ,437.6982
598 ,444.8318
599 ,441.1704
600 ,447.2349
601 ,447.2728
602 ,447.2539
603 ,458.5599
604 ,458.0111
605 ,449.6854
606 ,447.5188
607 ,446.4213
608 ,435.56
609 ,427.5654
610 ,435.3329
611 ,431.4066
612 ,428.3085
613 ,436.4719
614 ,444.7889
615 ,439.3531
616 ,438.095
617 ,438.3351
618 ,432.2461
619 ,434.6279
620 ,438.7672
621 ,447.9967
622 ,454.4601
623 ,458.878
624 ,459.0316
625 ,452.9523
626 ,455.1036
627 ,464.7556
628 ,462.1625
629 ,461.2213
630 ,463.7184
631 ,458.3209
632 ,454.8827
633 ,462.4891
634 ,463.4687
635 ,471.4112
636 ,472.1603
637 ,464.8901
638 ,480.0355
639 ,476.3284
640 ,476.8278
641 ,473.1783
642 ,470.2587
643 ,470.3355
644 ,467.9249
645 ,474.446
646 ,473.2935
647 ,473.4664
648 ,472.554
649 ,470.057
650 ,473.4472
651 ,471.6993
652 ,475.5697
653 ,472.919
654 ,470.5852
655 ,465.7736
656 ,462.2105
657 ,455.5838
658 ,459.3774
659 ,465.7064
660 ,472.1603
661 ,471.2767
662 ,470.4411
663 ,479.2096
664 ,477.2696
665 ,476.5493
666 ,479.0175
667 ,480.1316
668 ,487.1521
669 ,489.1209
670 ,488.0837
671 ,497.9277
672 ,497.1402
673 ,506.869
674 ,518.6723
675 ,523.9353
676 ,522.5427
677 ,534.1251
678 ,538.4853
679 ,534.6821
680 ,538.5141
681 ,559.5276
682 ,551.5851
683 ,550.7016
684 ,544.8624
685 ,543.2681
686 ,581.127
687 ,623.9031
688 ,597.4441
689 ,593.5545
